Name,ID,Gene,Value
MPGAST-38,A,ABCC1,22.67027086
MPGAST-38,A,ABCC3,19.42785459
MPGAST-38,A,AKT1,19.62516532
MPGAST-38,A,ALDH1A1,16.84788669
MPGAST-38,A,ALDH3A1,17.73580971
MPGAST-38,A,CASP8,20.69816768
MPGAST-38,A,CCND1,19.59060085
MPGAST-38,A,CD274,23.10829026
MPGAST-38,A,CD34,21.06454896
MPGAST-38,A,CD44,23.14108078
MPGAST-38,A,CDH1,18.48031931
MPGAST-38,A,CDH2,20.28270117
MPGAST-38,A,CDH5,23.62129239
MPGAST-38,A,CDKN1A,20.11671258
MPGAST-38,A,CDKN3,17.06790635
MPGAST-38,A,CEACAM6,17.28097524
MPGAST-38,A,DNMT1,19.87613977
MPGAST-38,A,EGFR,22.23059463
MPGAST-38,A,ERCC1,22.18806333
MPGAST-38,A,FGF13,23.37757402
MPGAST-38,A,FGF2,22.40994309
MPGAST-38,A,FGFR2,19.64022668
MPGAST-38,A,HMOX2,20.08594569
MPGAST-38,A,IGF1R,22.07981246
MPGAST-38,A,IL18,19.26988706
MPGAST-38,A,LEF1,21.83309589
MPGAST-38,A,MCM2,20.11791736
MPGAST-38,A,MDM2,18.64605842
MPGAST-38,A,MLH1,20.95258098
MPGAST-38,A,MMP1,19.32925168
MPGAST-38,A,MUC1,14.49498605
MPGAST-38,A,NFE2L2,17.88892466
MPGAST-38,A,NFE2L3,21.3175994
MPGAST-38,A,OCLN,19.2006342
MPGAST-38,A,PARP1,19.69628049
MPGAST-38,A,PCNA,19.54452404
MPGAST-38,A,PECAM1,18.57708644
MPGAST-38,A,E,18.81144414
MPGAST-38,A,C,16.78840004
MPGAST-38,A,B,12.29108942
MPGAST-38,A,A,16.29894828
MPGAST-38,A,S100P,11.82082325
MPGAST-38,A,PTEN,18.60760621
MPGAST-38,A,G,18.55299062
MPGAST-38,A,F,13.92770157
MPGAST-38,A,STAT3,19.30042631
MPGAST-38,A,STAT1,19.5440241
